# Project Name, Track, Team Number, Room Name, Devpost URL, Prize1|Prize2|...
Budget Planner #1, Health, 1, JRR A97, , Best Hardware Hack
AI Assistant #2, Entertainment + Media, 2, JRR A97, , AI Research and Alignment Environments|Best Use of Gemini API|Best Use of K2 Think V2
Transit App #3, Business and Enterprise, 3, JRR A97, , 
Food Finder #4, Entertainment + Media, 4, JRR A97, , Best AI-Powered App|Best Domain Name from GoDaddy Registry|Best Use of Knot API
Music Generator #5, Business and Enterprise, 5, JRR A97, , AI & Tech for Clinical Trials by Regeneron|Best Domain Name from GoDaddy Registry|Best Use of K2 Think V2
Eco Monitor #6, Health, 6, JRR A98, , 
Food Finder #7, Business and Enterprise, 7, JRR A98, , Best Sustainability Hack
Study Buddy #8, Business and Enterprise, 8, JRR A98, , 
AR Navigator #9, Education, 9, JRR A98, , Best Use of Gemini API|Most Creative Use of Anthropic API
Study Buddy #10, Social Good, 10, JRR A98, , 
Study Buddy #11, Business and Enterprise, 11, JRR 101, , 
Eco Monitor #12, Health, 12, JRR 101, , 
Music Generator #13, Business and Enterprise, 13, JRR 101, , 
AI Assistant #14, Business and Enterprise, 14, JRR 101, , 
Health Tracker #15, Business and Enterprise, 15, JRR 101, , Best Use of Gemini API
Health Tracker #16, Finance, 16, JRR 101, , Best Use of Knot API|Most Creative Use of Anthropic API
AR Navigator #17, Entertainment + Media, 17, JRR 101, , AI Research and Alignment Environments|Best Sustainability Hack
AR Navigator #18, Sustainability, 18, JRR 198, , Best Use of Gemini API
Health Tracker #19, Education, 19, JRR 198, , Best AI-Powered App|Best Sustainability Hack
Health Tracker #20, Entertainment + Media, 20, JRR 198, , Best Hardware Hack
Transit App #21, Social Good, 21, JRR 198, , Best Hardware Hack|Best Sustainability Hack
Study Buddy #22, Business and Enterprise, 22, JRR 198, , 
Music Generator #23, Health, 23, JRR 201, , 
AI Assistant #24, Business and Enterprise, 24, JRR 201, , AI Research and Alignment Environments|Best Sustainability Hack
AI Assistant #25, Business and Enterprise, 25, JRR 201, , Best Use of Gemini API|Most Creative Use of Anthropic API
Chat Platform #26, Social Good, 26, JRR 201, , 
AI Assistant #27, Sustainability, 27, JRR 217, , AI & Tech for Clinical Trials by Regeneron
Food Finder #28, Business and Enterprise, 28, JRR 217, , AI & Tech for Clinical Trials by Regeneron|Best Domain Name from GoDaddy Registry|Most Creative Use of Anthropic API
AR Navigator #29, Education, 29, JRR 217, , 
Food Finder #30, Sustainability, 30, JRR 217, , 
AR Navigator #31, Social Good, 31, JRR 217, , 
AI Assistant #32, Health, 32, JRR 217, , Best Hardware Hack|Best Use of K2 Think V2
Budget Planner #33, Business and Enterprise, 33, JRR 298, , AI Research and Alignment Environments|Best Domain Name from GoDaddy Registry|Best Use of Knot API
AI Assistant #34, Entertainment + Media, 34, JRR 298, , AI Research and Alignment Environments|Best Use of Knot API
Music Generator #35, Social Good, 35, JRR 298, , Best Use of Knot API
Budget Planner #36, Social Good, 36, JRR 298, , AI Research and Alignment Environments|Best Domain Name from GoDaddy Registry|Best Use of K2 Think V2
Eco Monitor #37, Finance, 37, JRR 301, , AI Research and Alignment Environments|Best Domain Name from GoDaddy Registry|Best Hardware Hack
Chat Platform #38, Sustainability, 38, JRR 301, , Best AI-Powered App|Best Sustainability Hack|Best Use of Gemini API
Budget Planner #39, Sustainability, 39, JRR 301, , Best AI-Powered App|Best Sustainability Hack|Best Use of Gemini API
Chat Platform #40, Entertainment + Media, 40, JRR 397, , 
Health Tracker #41, Entertainment + Media, 41, JRR 397, , AI Research and Alignment Environments|Best Domain Name from GoDaddy Registry|Best Hardware Hack
Music Generator #42, Sustainability, 42, JRR 397, , AI Research and Alignment Environments|Best AI-Powered App|Best Hardware Hack
Chat Platform #43, Finance, 43, JRR 399 (Ruehl Family Room), , Best Sustainability Hack|Best Use of K2 Think V2|Best Use of Knot API
Transit App #44, Education, 44, JRR 399 (Ruehl Family Room), , AI Research and Alignment Environments|Best AI-Powered App
Budget Planner #45, Education, 45, JRR 399 (Ruehl Family Room), , 
Chat Platform #46, Health, 46, JRR 399 (Ruehl Family Room), , Best Domain Name from GoDaddy Registry|Best Hardware Hack
